ACERINOX,9.976,2.30,0.22,-12.38,10.015,9.714,1008302,2699,14/04,2022-04-15 11:30:07.586276
ACS,24.910,0.52,0.13,7.79,25.100,24.720,533878,7340,14/04,2022-04-15 11:30:07.586276
AENA,151.650,2.29,3.40,9.26,153.150,149.400,125423,22748,14/04,2022-04-15 11:30:07.586276
ALMIRALL,12.400,0.81,0.10,9.73,12.520,12.260,240950,2229,14/04,2022-04-15 11:30:07.586276
AMADEUS IT GROUP,56.880,0.64,0.36,-4.63,57.320,56.360,686913,25624,14/04,2022-04-15 11:30:07.586276
ARCELORMITTAL,30.510,2.83,0.84,7.52,30.550,29.930,483680,28613,14/04,2022-04-15 11:30:07.586276
BANCO SABADELL,0.731,-0.25,-0.00,28.38,0.744,0.730,21973836,4113,14/04,2022-04-15 11:30:07.586276
BANKINTER,5.278,1.93,0.10,18.39,5.304,5.204,2186491,4744,14/04,2022-04-15 11:30:07.586276
BBVA,5.034,1.63,0.08,0.28,5.073,4.936,17194476,33566,14/04,2022-04-15 11:30:07.586276
CAIXABANK,3.040,1.57,0.05,32.08,3.073,3.003,13611297,24504,14/04,2022-04-15 11:30:07.586276
CELLNEX TELECOM,44.950,-0.18,-0.08,-12.17,45.420,44.690,1024166,30536,14/04,2022-04-15 11:30:07.586276
CIE AUTOMOTIVE,19.920,-0.15,-0.03,-26.22,20.080,19.820,206315,2441,14/04,2022-04-15 11:30:07.586276
COLONIAL,8.330,0.30,0.02,0.97,8.385,8.280,632198,4495,14/04,2022-04-15 11:30:07.586276
ENAGAS,21.160,1.73,0.36,3.73,21.330,20.720,1221130,5544,14/04,2022-04-15 11:30:07.586276
ENDESA,19.615,0.90,0.17,-2.90,19.735,19.250,859571,20767,14/04,2022-04-15 11:30:07.586276
FERROVIAL,25.740,1.26,0.32,-6.60,25.900,25.420,824354,18883,14/04,2022-04-15 11:30:07.586276
FLUIDRA,25.240,0.48,0.12,-28.30,25.540,25.120,239998,4938,14/04,2022-04-15 11:30:07.586276
GRIFOLS,15.575,2.98,0.45,-7.70,15.770,15.165,1067505,6637,14/04,2022-04-15 11:30:07.586276
IAG,1.758,3.99,0.07,3.14,1.772,1.702,26124740,8737,14/04,2022-04-15 11:30:07.586276
IBERDROLA,10.505,1.11,0.11,2.61,10.570,10.290,10388874,67627,14/04,2022-04-15 11:30:07.586276
INDITEX,20.540,1.38,0.28,-28.01,20.670,20.280,3401612,64016,14/04,2022-04-15 11:30:07.586276
INDRA,9.190,1.49,0.13,-3.47,9.285,9.090,449027,1623,14/04,2022-04-15 11:30:07.586276
MAPFRE,1.884,0.80,0.01,4.35,1.897,1.853,3062240,5802,14/04,2022-04-15 11:30:07.586276
MELIÁ HOTELS,6.875,4.64,0.30,14.55,6.895,6.575,967905,1515,14/04,2022-04-15 11:30:07.586276
MERLIN PROP,10.830,0.74,0.08,13.17,10.910,10.660,614295,5088,14/04,2022-04-15 11:30:07.586276
NATURGY,29.560,0.99,0.29,5.41,29.840,29.220,349759,28662,14/04,2022-04-15 11:30:07.586276
PHARMA MAR,76.420,-0.31,-0.24,34.02,77.340,76.300,51287,1403,14/04,2022-04-15 11:30:07.586276
RED ELÉCTRICA,19.420,1.30,0.25,3.56,19.515,19.040,1157783,10508,14/04,2022-04-15 11:30:07.586276
REPSOL,13.770,1.74,0.24,35.60,13.815,13.535,5117229,21590,14/04,2022-04-15 11:30:07.586276
ROVI,66.600,0.38,0.25,-9.76,67.400,66.050,81716,3734,14/04,2022-04-15 11:30:07.586276
SANTANDER,3.152,0.93,0.03,7.21,3.185,3.129,34478960,54666,14/04,2022-04-15 11:30:07.586276
SIEMENS GAMESA,14.905,-1.52,-0.23,-29.26,15.165,14.905,1326539,10152,14/04,2022-04-15 11:30:07.586276
SOLARIA,21.830,0.97,0.21,27.51,22.150,21.430,461283,2728,14/04,2022-04-15 11:30:07.586276
TELEFÓNICA,4.996,1.17,0.06,29.70,5.000,4.892,20321886,28872,14/04,2022-04-15 11:30:07.586276
ACCIONA,193.200,1.74,3.30,14.93,194.700,188.800,100617,10598,14/04,2022-04-15 12:30:07.914020
ACERINOX,9.976,2.30,0.22,-12.38,10.015,9.714,1008302,2699,14/04,2022-04-15 12:30:07.914020
ACS,24.910,0.52,0.13,7.79,25.100,24.720,533878,7340,14/04,2022-04-15 12:30:07.914020
AENA,151.650,2.29,3.40,9.26,153.150,149.400,125423,22748,14/04,2022-04-15 12:30:07.914020
ALMIRALL,12.400,0.81,0.10,9.73,12.520,12.260,240950,2229,14/04,2022-04-15 12:30:07.914020
AMADEUS IT GROUP,56.880,0.64,0.36,-4.63,57.320,56.360,686913,25624,14/04,2022-04-15 12:30:07.914020
ARCELORMITTAL,30.510,2.83,0.84,7.52,30.550,29.930,483680,28613,14/04,2022-04-15 12:30:07.914020
BANCO SABADELL,0.731,-0.25,-0.00,28.38,0.744,0.730,21973836,4113,14/04,2022-04-15 12:30:07.914020
BANKINTER,5.278,1.93,0.10,18.39,5.304,5.204,2186491,4744,14/04,2022-04-15 12:30:07.914020
BBVA,5.034,1.63,0.08,0.28,5.073,4.936,17194476,33566,14/04,2022-04-15 12:30:07.914020
CAIXABANK,3.040,1.57,0.05,32.08,3.073,3.003,13611297,24504,14/04,2022-04-15 12:30:07.914020
CELLNEX TELECOM,44.950,-0.18,-0.08,-12.17,45.420,44.690,1024166,30536,14/04,2022-04-15 12:30:07.914020
CIE AUTOMOTIVE,19.920,-0.15,-0.03,-26.22,20.080,19.820,206315,2441,14/04,2022-04-15 12:30:07.914020
COLONIAL,8.330,0.30,0.02,0.97,8.385,8.280,632198,4495,14/04,2022-04-15 12:30:07.914020
ENAGAS,21.160,1.73,0.36,3.73,21.330,20.720,1221130,5544,14/04,2022-04-15 12:30:07.914020
ENDESA,19.615,0.90,0.17,-2.90,19.735,19.250,859571,20767,14/04,2022-04-15 12:30:07.914020
FERROVIAL,25.740,1.26,0.32,-6.60,25.900,25.420,824354,18883,14/04,2022-04-15 12:30:07.914020
FLUIDRA,25.240,0.48,0.12,-28.30,25.540,25.120,239998,4938,14/04,2022-04-15 12:30:07.914020
GRIFOLS,15.575,2.98,0.45,-7.70,15.770,15.165,1067505,6637,14/04,2022-04-15 12:30:07.914020
IAG,1.758,3.99,0.07,3.14,1.772,1.702,26124740,8737,14/04,2022-04-15 12:30:07.914020
IBERDROLA,10.505,1.11,0.11,2.61,10.570,10.290,10388874,67627,14/04,2022-04-15 12:30:07.914020
INDITEX,20.540,1.38,0.28,-28.01,20.670,20.280,3401612,64016,14/04,2022-04-15 12:30:07.914020
INDRA,9.190,1.49,0.13,-3.47,9.285,9.090,449027,1623,14/04,2022-04-15 12:30:07.914020
MAPFRE,1.884,0.80,0.01,4.35,1.897,1.853,3062240,5802,14/04,2022-04-15 12:30:07.914020
MELIÁ HOTELS,6.875,4.64,0.30,14.55,6.895,6.575,967905,1515,14/04,2022-04-15 12:30:07.914020
MERLIN PROP,10.830,0.74,0.08,13.17,10.910,10.660,614295,5088,14/04,2022-04-15 12:30:07.914020
NATURGY,29.560,0.99,0.29,5.41,29.840,29.220,349759,28662,14/04,2022-04-15 12:30:07.914020
PHARMA MAR,76.420,-0.31,-0.24,34.02,77.340,76.300,51287,1403,14/04,2022-04-15 12:30:07.914020
RED ELÉCTRICA,19.420,1.30,0.25,3.56,19.515,19.040,1157783,10508,14/04,2022-04-15 12:30:07.914020
REPSOL,13.770,1.74,0.24,35.60,13.815,13.535,5117229,21590,14/04,2022-04-15 12:30:07.914020
ROVI,66.600,0.38,0.25,-9.76,67.400,66.050,81716,3734,14/04,2022-04-15 12:30:07.914020
SANTANDER,3.152,0.93,0.03,7.21,3.185,3.129,34478960,54666,14/04,2022-04-15 12:30:07.914020
SIEMENS GAMESA,14.905,-1.52,-0.23,-29.26,15.165,14.905,1326539,10152,14/04,2022-04-15 12:30:07.914020
SOLARIA,21.830,0.97,0.21,27.51,22.150,21.430,461283,2728,14/04,2022-04-15 12:30:07.914020
TELEFÓNICA,4.996,1.17,0.06,29.70,5.000,4.892,20321886,28872,14/04,2022-04-15 12:30:07.914020
ACCIONA,193.200,1.74,3.30,14.93,194.700,188.800,100617,10598,14/04,2022-04-15 13:30:00.113582
ACERINOX,9.976,2.30,0.22,-12.38,10.015,9.714,1008302,2699,14/04,2022-04-15 13:30:00.113582
ACS,24.910,0.52,0.13,7.79,25.100,24.720,533878,7340,14/04,2022-04-15 13:30:00.113582
AENA,151.650,2.29,3.40,9.26,153.150,149.400,125423,22748,14/04,2022-04-15 13:30:00.113582
ALMIRALL,12.400,0.81,0.10,9.73,12.520,12.260,240950,2229,14/04,2022-04-15 13:30:00.113582
AMADEUS IT GROUP,56.880,0.64,0.36,-4.63,57.320,56.360,686913,25624,14/04,2022-04-15 13:30:00.113582
ARCELORMITTAL,30.510,2.83,0.84,7.52,30.550,29.930,483680,28613,14/04,2022-04-15 13:30:00.113582
BANCO SABADELL,0.731,-0.25,-0.00,28.38,0.744,0.730,21973836,4113,14/04,2022-04-15 13:30:00.113582
BANKINTER,5.278,1.93,0.10,18.39,5.304,5.204,2186491,4744,14/04,2022-04-15 13:30:00.113582
BBVA,5.034,1.63,0.08,0.28,5.073,4.936,17194476,33566,14/04,2022-04-15 13:30:00.113582
CAIXABANK,3.040,1.57,0.05,32.08,3.073,3.003,13611297,24504,14/04,2022-04-15 13:30:00.113582
CELLNEX TELECOM,44.950,-0.18,-0.08,-12.17,45.420,44.690,1024166,30536,14/04,2022-04-15 13:30:00.113582
CIE AUTOMOTIVE,19.920,-0.15,-0.03,-26.22,20.080,19.820,206315,2441,14/04,2022-04-15 13:30:00.113582
COLONIAL,8.330,0.30,0.02,0.97,8.385,8.280,632198,4495,14/04,2022-04-15 13:30:00.113582
ENAGAS,21.160,1.73,0.36,3.73,21.330,20.720,1221130,5544,14/04,2022-04-15 13:30:00.113582
ENDESA,19.615,0.90,0.17,-2.90,19.735,19.250,859571,20767,14/04,2022-04-15 13:30:00.113582
FERROVIAL,25.740,1.26,0.32,-6.60,25.900,25.420,824354,18883,14/04,2022-04-15 13:30:00.113582
FLUIDRA,25.240,0.48,0.12,-28.30,25.540,25.120,239998,4938,14/04,2022-04-15 13:30:00.113582
GRIFOLS,15.575,2.98,0.45,-7.70,15.770,15.165,1067505,6637,14/04,2022-04-15 13:30:00.113582
IAG,1.758,3.99,0.07,3.14,1.772,1.702,26124740,8737,14/04,2022-04-15 13:30:00.113582
IBERDROLA,10.505,1.11,0.11,2.61,10.570,10.290,10388874,67627,14/04,2022-04-15 13:30:00.113582
INDITEX,20.540,1.38,0.28,-28.01,20.670,20.280,3401612,64016,14/04,2022-04-15 13:30:00.113582
INDRA,9.190,1.49,0.13,-3.47,9.285,9.090,449027,1623,14/04,2022-04-15 13:30:00.113582
MAPFRE,1.884,0.80,0.01,4.35,1.897,1.853,3062240,5802,14/04,2022-04-15 13:30:00.113582
MELIÁ HOTELS,6.875,4.64,0.30,14.55,6.895,6.575,967905,1515,14/04,2022-04-15 13:30:00.113582
MERLIN PROP,10.830,0.74,0.08,13.17,10.910,10.660,614295,5088,14/04,2022-04-15 13:30:00.113582
NATURGY,29.560,0.99,0.29,5.41,29.840,29.220,349759,28662,14/04,2022-04-15 13:30:00.113582
PHARMA MAR,76.420,-0.31,-0.24,34.02,77.340,76.300,51287,1403,14/04,2022-04-15 13:30:00.113582
RED ELÉCTRICA,19.420,1.30,0.25,3.56,19.515,19.040,1157783,10508,14/04,2022-04-15 13:30:00.113582
REPSOL,13.770,1.74,0.24,35.60,13.815,13.535,5117229,21590,14/04,2022-04-15 13:30:00.113582
ROVI,66.600,0.38,0.25,-9.76,67.400,66.050,81716,3734,14/04,2022-04-15 13:30:00.113582
SANTANDER,3.152,0.93,0.03,7.21,3.185,3.129,34478960,54666,14/04,2022-04-15 13:30:00.113582
SIEMENS GAMESA,14.905,-1.52,-0.23,-29.26,15.165,14.905,1326539,10152,14/04,2022-04-15 13:30:00.113582
SOLARIA,21.830,0.97,0.21,27.51,22.150,21.430,461283,2728,14/04,2022-04-15 13:30:00.113582
TELEFÓNICA,4.996,1.17,0.06,29.70,5.000,4.892,20321886,28872,14/04,2022-04-15 13:30:00.113582
ACCIONA,193.200,1.74,3.30,14.93,194.700,188.800,100617,10598,14/04,2022-04-15 14:30:28.949853
ACERINOX,9.976,2.30,0.22,-12.38,10.015,9.714,1008302,2699,14/04,2022-04-15 14:30:28.949853
ACS,24.910,0.52,0.13,7.79,25.100,24.720,533878,7340,14/04,2022-04-15 14:30:28.949853
AENA,151.650,2.29,3.40,9.26,153.150,149.400,125423,22748,14/04,2022-04-15 14:30:28.949853
ALMIRALL,12.400,0.81,0.10,9.73,12.520,12.260,240950,2229,14/04,2022-04-15 14:30:28.949853
AMADEUS IT GROUP,56.880,0.64,0.36,-4.63,57.320,56.360,686913,25624,14/04,2022-04-15 14:30:28.949853
ARCELORMITTAL,30.510,2.83,0.84,7.52,30.550,29.930,483680,28613,14/04,2022-04-15 14:30:28.949853
BANCO SABADELL,0.731,-0.25,-0.00,28.38,0.744,0.730,21973836,4113,14/04,2022-04-15 14:30:28.949853
BANKINTER,5.278,1.93,0.10,18.39,5.304,5.204,2186491,4744,14/04,2022-04-15 14:30:28.949853
BBVA,5.034,1.63,0.08,0.28,5.073,4.936,17194476,33566,14/04,2022-04-15 14:30:28.949853
CAIXABANK,3.040,1.57,0.05,32.08,3.073,3.003,13611297,24504,14/04,2022-04-15 14:30:28.949853
CELLNEX TELECOM,44.950,-0.18,-0.08,-12.17,45.420,44.690,1024166,30536,14/04,2022-04-15 14:30:28.949853
CIE AUTOMOTIVE,19.920,-0.15,-0.03,-26.22,20.080,19.820,206315,2441,14/04,2022-04-15 14:30:28.949853
COLONIAL,8.330,0.30,0.02,0.97,8.385,8.280,632198,4495,14/04,2022-04-15 14:30:28.949853
ENAGAS,21.160,1.73,0.36,3.73,21.330,20.720,1221130,5544,14/04,2022-04-15 14:30:28.949853
ENDESA,19.615,0.90,0.17,-2.90,19.735,19.250,859571,20767,14/04,2022-04-15 14:30:28.949853
FERROVIAL,25.740,1.26,0.32,-6.60,25.900,25.420,824354,18883,14/04,2022-04-15 14:30:28.949853
FLUIDRA,25.240,0.48,0.12,-28.30,25.540,25.120,239998,4938,14/04,2022-04-15 14:30:28.949853
GRIFOLS,15.575,2.98,0.45,-7.70,15.770,15.165,1067505,6637,14/04,2022-04-15 14:30:28.949853
IAG,1.758,3.99,0.07,3.14,1.772,1.702,26124740,8737,14/04,2022-04-15 14:30:28.949853
IBERDROLA,10.505,1.11,0.11,2.61,10.570,10.290,10388874,67627,14/04,2022-04-15 14:30:28.949853
INDITEX,20.540,1.38,0.28,-28.01,20.670,20.280,3401612,64016,14/04,2022-04-15 14:30:28.949853
INDRA,9.190,1.49,0.13,-3.47,9.285,9.090,449027,1623,14/04,2022-04-15 14:30:28.949853
MAPFRE,1.884,0.80,0.01,4.35,1.897,1.853,3062240,5802,14/04,2022-04-15 14:30:28.949853
MELIÁ HOTELS,6.875,4.64,0.30,14.55,6.895,6.575,967905,1515,14/04,2022-04-15 14:30:28.949853
MERLIN PROP,10.830,0.74,0.08,13.17,10.910,10.660,614295,5088,14/04,2022-04-15 14:30:28.949853
NATURGY,29.560,0.99,0.29,5.41,29.840,29.220,349759,28662,14/04,2022-04-15 14:30:28.949853
PHARMA MAR,76.420,-0.31,-0.24,34.02,77.340,76.300,51287,1403,14/04,2022-04-15 14:30:28.949853
RED ELÉCTRICA,19.420,1.30,0.25,3.56,19.515,19.040,1157783,10508,14/04,2022-04-15 14:30:28.949853
REPSOL,13.770,1.74,0.24,35.60,13.815,13.535,5117229,21590,14/04,2022-04-15 14:30:28.949853
ROVI,66.600,0.38,0.25,-9.76,67.400,66.050,81716,3734,14/04,2022-04-15 14:30:28.949853
SANTANDER,3.152,0.93,0.03,7.21,3.185,3.129,34478960,54666,14/04,2022-04-15 14:30:28.949853
SIEMENS GAMESA,14.905,-1.52,-0.23,-29.26,15.165,14.905,1326539,10152,14/04,2022-04-15 14:30:28.949853
SOLARIA,21.830,0.97,0.21,27.51,22.150,21.430,461283,2728,14/04,2022-04-15 14:30:28.949853
TELEFÓNICA,4.996,1.17,0.06,29.70,5.000,4.892,20321886,28872,14/04,2022-04-15 14:30:28.949853
ACCIONA,193.200,1.74,3.30,14.93,194.700,188.800,100617,10598,14/04,2022-04-15 15:30:22.488842
ACERINOX,9.976,2.30,0.22,-12.38,10.015,9.714,1008302,2699,14/04,2022-04-15 15:30:22.488842
ACS,24.910,0.52,0.13,7.79,25.100,24.720,533878,7340,14/04,2022-04-15 15:30:22.488842
AENA,151.650,2.29,3.40,9.26,153.150,149.400,125423,22748,14/04,2022-04-15 15:30:22.488842
ALMIRALL,12.400,0.81,0.10,9.73,12.520,12.260,240950,2229,14/04,2022-04-15 15:30:22.488842
AMADEUS IT GROUP,56.880,0.64,0.36,-4.63,57.320,56.360,686913,25624,14/04,2022-04-15 15:30:22.488842
ARCELORMITTAL,30.510,2.83,0.84,7.52,30.550,29.930,483680,28613,14/04,2022-04-15 15:30:22.488842
BANCO SABADELL,0.731,-0.25,-0.00,28.38,0.744,0.730,21973836,4113,14/04,2022-04-15 15:30:22.488842
BANKINTER,5.278,1.93,0.10,18.39,5.304,5.204,2186491,4744,14/04,2022-04-15 15:30:22.488842
BBVA,5.034,1.63,0.08,0.28,5.073,4.936,17194476,33566,14/04,2022-04-15 15:30:22.488842
CAIXABANK,3.040,1.57,0.05,32.08,3.073,3.003,13611297,24504,14/04,2022-04-15 15:30:22.488842
CELLNEX TELECOM,44.950,-0.18,-0.08,-12.17,45.420,44.690,1024166,30536,14/04,2022-04-15 15:30:22.488842
CIE AUTOMOTIVE,19.920,-0.15,-0.03,-26.22,20.080,19.820,206315,2441,14/04,2022-04-15 15:30:22.488842
COLONIAL,8.330,0.30,0.02,0.97,8.385,8.280,632198,4495,14/04,2022-04-15 15:30:22.488842
ENAGAS,21.160,1.73,0.36,3.73,21.330,20.720,1221130,5544,14/04,2022-04-15 15:30:22.488842
ENDESA,19.615,0.90,0.17,-2.90,19.735,19.250,859571,20767,14/04,2022-04-15 15:30:22.488842
FERROVIAL,25.740,1.26,0.32,-6.60,25.900,25.420,824354,18883,14/04,2022-04-15 15:30:22.488842
FLUIDRA,25.240,0.48,0.12,-28.30,25.540,25.120,239998,4938,14/04,2022-04-15 15:30:22.488842
GRIFOLS,15.575,2.98,0.45,-7.70,15.770,15.165,1067505,6637,14/04,2022-04-15 15:30:22.488842
IAG,1.758,3.99,0.07,3.14,1.772,1.702,26124740,8737,14/04,2022-04-15 15:30:22.488842
IBERDROLA,10.505,1.11,0.11,2.61,10.570,10.290,10388874,67627,14/04,2022-04-15 15:30:22.488842
INDITEX,20.540,1.38,0.28,-28.01,20.670,20.280,3401612,64016,14/04,2022-04-15 15:30:22.488842
INDRA,9.190,1.49,0.13,-3.47,9.285,9.090,449027,1623,14/04,2022-04-15 15:30:22.488842
MAPFRE,1.884,0.80,0.01,4.35,1.897,1.853,3062240,5802,14/04,2022-04-15 15:30:22.488842
MELIÁ HOTELS,6.875,4.64,0.30,14.55,6.895,6.575,967905,1515,14/04,2022-04-15 15:30:22.488842
MERLIN PROP,10.830,0.74,0.08,13.17,10.910,10.660,614295,5088,14/04,2022-04-15 15:30:22.488842
NATURGY,29.560,0.99,0.29,5.41,29.840,29.220,349759,28662,14/04,2022-04-15 15:30:22.488842
